CountryName,Date,PredictedDailyNewCases,PredictedDailyQuantile25,PredictedDailyQuantile75
Afghanistan,2021-02-19,51,51,55
Afghanistan,2021-02-20,50,50,55
Afghanistan,2021-02-21,50,50,56
Afghanistan,2021-02-22,50,50,56
Afghanistan,2021-02-23,50,50,56
Afghanistan,2021-02-24,50,50,56
Afghanistan,2021-02-25,50,50,57
Afghanistan,2021-02-26,50,50,57
Afghanistan,2021-02-27,50,50,57
Afghanistan,2021-02-28,49,49,57
Afghanistan,2021-03-01,49,49,57
Afghanistan,2021-03-02,49,49,58
Afghanistan,2021-03-03,49,49,58
Afghanistan,2021-03-04,49,49,58
Afghanistan,2021-03-05,48,48,58
Afghanistan,2021-03-06,48,48,58
Afghanistan,2021-03-07,48,48,58
Afghanistan,2021-03-08,48,48,58
Afghanistan,2021-03-09,48,48,59
Afghanistan,2021-03-10,47,47,59
Afghanistan,2021-03-11,47,47,59
Afghanistan,2021-03-12,47,47,59
Afghanistan,2021-03-13,47,47,59
Afghanistan,2021-03-14,46,46,59
Afghanistan,2021-03-15,46,46,59
Afghanistan,2021-03-16,46,46,59
Afghanistan,2021-03-17,46,46,59
Afghanistan,2021-03-18,45,45,59
Afghanistan,2021-03-19,45,45,59
Afghanistan,2021-03-20,45,45,59
Afghanistan,2021-03-21,44,44,59
Albania,2021-02-19,1090,1019,1253
Albania,2021-02-20,1093,1017,1271
Albania,2021-02-21,1097,1015,1289
Albania,2021-02-22,1100,1013,1307
Albania,2021-02-23,1103,1010,1324
Albania,2021-02-24,1106,1008,1342
Albania,2021-02-25,1109,1005,1360
Albania,2021-02-26,1112,1002,1378
Albania,2021-02-27,1114,999,1396
Albania,2021-02-28,1116,996,1414
Albania,2021-03-01,1119,993,1432
Albania,2021-03-02,1121,990,1450
Albania,2021-03-03,1122,986,1469
Albania,2021-03-04,1124,983,1487
Albania,2021-03-05,1126,979,1505
Albania,2021-03-06,1127,975,1523
Albania,2021-03-07,1128,971,1541
Albania,2021-03-08,1129,967,1559
